cell_id,source,axis_tuple,cell,seed,pre_leakage_fmax,pre_leakage_dataset,target_eval_set,estimated_runtime_minutes,priority,status,notes
study_v9_rep_lk-bpo_seed137,study_v9_replication,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage,eval=bench-v1-K5,prop=tpr_pred,ens=none",lk-bpo,137,0.356990,bench-v1-K5,bench-v1-K5-filtered,10,1,done,Core replication set. FARM-EXP.8 covers esmc_300m K=5 lgbm.per_cell_9 v6+lineage-leakfree (different feature set). This uses full v6+lineage feat bundle.
study_v9_rep_lk-bpo_seed42,study_v9_replication,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage,eval=bench-v1-K5,prop=tpr_pred,ens=none",lk-bpo,42,0.350455,bench-v1-K5,bench-v1-K5-filtered,10,1,done,Core replication set. FARM-EXP.8 covers esmc_300m K=5 lgbm.per_cell_9 v6+lineage-leakfree (different feature set). This uses full v6+lineage feat bundle.
study_v9_rep_lk-bpo_seed7,study_v9_replication,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage,eval=bench-v1-K5,prop=tpr_pred,ens=none",lk-bpo,7,0.349384,bench-v1-K5,bench-v1-K5-filtered,10,1,done,Core replication set. FARM-EXP.8 covers esmc_300m K=5 lgbm.per_cell_9 v6+lineage-leakfree (different feature set). This uses full v6+lineage feat bundle.
study_v9_rep_lk-cco_seed137,study_v9_replication,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage,eval=bench-v1-K5,prop=tpr_pred,ens=none",lk-cco,137,0.252497,bench-v1-K5,bench-v1-K5-filtered,10,1,done,Core replication set. FARM-EXP.8 covers esmc_300m K=5 lgbm.per_cell_9 v6+lineage-leakfree (different feature set). This uses full v6+lineage feat bundle.
study_v9_rep_lk-cco_seed42,study_v9_replication,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage,eval=bench-v1-K5,prop=tpr_pred,ens=none",lk-cco,42,0.249060,bench-v1-K5,bench-v1-K5-filtered,10,1,done,Core replication set. FARM-EXP.8 covers esmc_300m K=5 lgbm.per_cell_9 v6+lineage-leakfree (different feature set). This uses full v6+lineage feat bundle.
study_v9_rep_lk-cco_seed7,study_v9_replication,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage,eval=bench-v1-K5,prop=tpr_pred,ens=none",lk-cco,7,0.250304,bench-v1-K5,bench-v1-K5-filtered,10,1,done,Core replication set. FARM-EXP.8 covers esmc_300m K=5 lgbm.per_cell_9 v6+lineage-leakfree (different feature set). This uses full v6+lineage feat bundle.
study_v9_rep_lk-mfo_seed137,study_v9_replication,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage,eval=bench-v1-K5,prop=tpr_pred,ens=none",lk-mfo,137,0.239499,bench-v1-K5,bench-v1-K5-filtered,10,1,done,Core replication set. FARM-EXP.8 covers esmc_300m K=5 lgbm.per_cell_9 v6+lineage-leakfree (different feature set). This uses full v6+lineage feat bundle.
study_v9_rep_lk-mfo_seed42,study_v9_replication,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage,eval=bench-v1-K5,prop=tpr_pred,ens=none",lk-mfo,42,0.244032,bench-v1-K5,bench-v1-K5-filtered,10,1,done,Core replication set. FARM-EXP.8 covers esmc_300m K=5 lgbm.per_cell_9 v6+lineage-leakfree (different feature set). This uses full v6+lineage feat bundle.
study_v9_rep_lk-mfo_seed7,study_v9_replication,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage,eval=bench-v1-K5,prop=tpr_pred,ens=none",lk-mfo,7,0.241133,bench-v1-K5,bench-v1-K5-filtered,10,1,done,Core replication set. FARM-EXP.8 covers esmc_300m K=5 lgbm.per_cell_9 v6+lineage-leakfree (different feature set). This uses full v6+lineage feat bundle.
study_v9_rep_nk-bpo_seed137,study_v9_replication,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage,eval=bench-v1-K5,prop=tpr_pred,ens=none",nk-bpo,137,0.463608,bench-v1-K5,bench-v1-K5-filtered,10,1,done,Core replication set. FARM-EXP.8 covers esmc_300m K=5 lgbm.per_cell_9 v6+lineage-leakfree (different feature set). This uses full v6+lineage feat bundle.
study_v9_rep_nk-bpo_seed42,study_v9_replication,"plm=esmc_300m,k=5,rr=lgbm.per_cell_9.lambdarank.r5000.es50.L63.lr05.iaw,feat=v6+lineage,eval=bench-v1-K5,prop=tpr_pred,ens=none",nk-bpo,42,0.464910,bench-v1-K5,bench-v1-K5-filtered,10,1,done,Core replication set. FARM-EXP.8 covers esmc_300m K=5 lgbm.per_cell_9 v6+lineage-leakfree (different feature set). This uses full v6+lineage feat bundle.
